Gene	Tau	Tissue
AT1G01010	0.496274664752	root
AT1G01020	0.237010630498	dark-grown seedling
AT1G01030	0.689979686314	carpel
AT1G01040	0.325298903426	carpel
AT1G01050	0.143454676011	root
AT1G01060	0.589593572381	aerial
AT1G01070	0.530908342407	receptacle
AT1G01080	0.387253039607	shoot apical meristem
AT1G01090	0.14374163047	stage 12 inflorescence
AT1G01100	0.209573411396	root apical meristem
AT1G01110	0.611590033062	carpel
AT1G01120	0.255143969913	receptacle
AT1G01130	0.377704374935	carpel
AT1G01140	0.236687521844	leaf
AT1G01150	1.0	stage 12 inflorescence
AT1G01160	0.249780498198	carpel
AT1G01170	0.249397267818	dark-grown seedling
AT1G01180	0.534409273565	root apical meristem
AT1G01190	0.852444503377	root
AT1G01200	0.704086485281	root apical meristem
AT1G01210	0.265481358772	carpel
AT1G01220	0.26421332423	shoot apical meristem
AT1G01225	0.465191289979	receptacle
AT1G01230	0.193517365008	root
AT1G01240	0.438226644799	receptacle
AT1G01250	0.724130884354	stage 12 inflorescence
AT1G01260	0.261831394251	carpel
AT1G01270	1.0	leaf
AT1G01280	0.990795272092	carpel
AT1G01290	0.263684198522	carpel
AT1G01300	0.336373603157	carpel
AT1G01305	0.858277818931	carpel
AT1G01310	0.901745951902	pollen
AT1G01320	0.315693348412	shoot apical meristem
AT1G01340	0.560688131265	root
AT1G01350	0.240241446668	carpel
AT1G01355	0.970991269232	pollen
AT1G01360	0.197605562858	root
AT1G01370	0.585000513493	carpel
AT1G01380	0.649038501926	root
AT1G01390	0.876403588646	dark-grown seedling
AT1G01420	0.693776795152	aerial
AT1G01430	0.288311253277	dark-grown seedling
AT1G01440	0.263030951344	dark-grown seedling
AT1G01448	0.490887841563	dark-grown seedling
AT1G01450	0.864733685683	dark-grown seedling
AT1G01453	0.951640672168	root apical meristem
AT1G01460	0.947711630486	pollen
AT1G01470	0.354644250899	root
AT1G01480	0.879519724644	receptacle
AT1G01490	0.209923902604	aerial
AT1G01500	0.523901267705	pollen
AT1G01510	0.277645633508	carpel
AT1G01520	0.883701282679	aerial
AT1G01530	0.976197427001	leaf
AT1G01540	0.174590517478	carpel
AT1G01550	0.194545181637	root
AT1G01560	0.827605986696	receptacle
AT1G01570	0.618562473099	carpel
AT1G01580	0.647491166314	receptacle
